City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
495,aljezur,37.3191,-8.8033,13.39,66,21,0.41,PT,1675789974
496,camacha,33.0833,-16.3333,14.68,63,40,7.72,PT,1675789410
497,nysa,50.4738,17.3344,-1.84,77,36,1.2,PL,1675789974
498,qasigiannguit,68.8193,-51.1922,-22.86,99,100,2.19,GL,1675789974
499,filingue,14.3521,3.3168,33.95,8,90,4.74,NE,1675789975
500,kiunga,-6.1219,141.2906,22.92,99,100,1.03,PG,1675789697
501,nizhniy tsasuchey,50.5167,115.1333,-16.75,92,12,3.84,RU,1675789889
502,varzea da palma,-17.5981,-44.7308,33.11,41,55,1.46,BR,1675789976
503,novaya bryan,51.7159,108.2691,-20.95,99,23,1.4,RU,1675789976
504,anderson,34.5334,-82.6499,17.49,43,0,2.57,US,1675789739
505,acajutla,13.5928,-89.8275,29.99,44,71,3.18,SV,1675789604
506,bondo,3.8146,23.6866,27.94,22,48,1.0,CD,1675789978
507,champerico,14.3,-91.9167,34.3,53,38,3.16,GT,1675789664
508,vrangel,42.7297,133.0839,-6.01,60,100,2.46,RU,1675789607
509,marsaxlokk,35.8419,14.5431,9.34,76,75,5.66,MT,1675789978
510,sikasso,10.9167,-7.0,36.21,13,100,1.15,ML,1675789979
511,arandis,-22.4167,14.9667,20.3,68,49,4.11,NA,1675789979
512,hofn,64.2539,-15.2082,1.67,77,99,11.62,IS,1675789433
513,bitung,1.4451,125.1824,23.47,89,100,4.5,ID,1675789980
514,palana,59.1167,159.9667,-25.88,99,100,4.41,RU,1675789980
515,wellington,-41.2866,174.7756,17.81,85,15,3.6,NZ,1675789853
516,santa lucia,27.9117,-15.5407,14.87,55,75,6.69,ES,1675789981
517,payo,-3.7508,103.6372,23.82,91,100,0.18,ID,1675789981
518,asau,46.4333,26.4,-3.49,96,100,1.46,RO,1675789659
519,karaton,-6.3424,106.1045,23.55,93,100,1.26,ID,1675789982
520,sindor,62.8629,51.8905,-11.49,94,100,3.94,RU,1675789982
521,abalak,58.1286,68.5944,-21.77,100,93,1.69,RU,1675789983
522,riyadh,24.6877,46.7219,20.08,26,88,5.89,SA,1675789544
523,dudinka,69.4058,86.1778,-23.77,100,95,1.48,RU,1675789984
524,dimbokro,6.6451,-4.7048,30.2,52,85,3.89,CI,1675789984
525,karkal,13.2,74.9833,25.9,76,15,0.9,IN,1675789985
526,cefalu,38.0386,14.0229,7.64,63,41,6.26,IT,1675789986
527,celestun,20.8667,-90.4,27.61,54,3,3.82,MX,1675789986
528,brae,60.3964,-1.353,6.56,72,13,9.87,GB,1675789626
529,abha,18.2164,42.5053,14.14,63,0,3.6,SA,1675789987
530,aranos,-24.1333,19.1167,25.77,47,89,3.81,NA,1675789987
531,lubbock,33.6001,-101.8338,7.14,60,75,12.35,US,1675789892
532,kotido,2.9806,34.1331,27.85,26,19,8.17,UG,1675789988
533,rorvik,64.8621,11.2373,5.06,87,75,7.72,NO,1675789989
534,nishihara,26.1842,127.7558,19.6,88,75,4.63,JP,1675789989
535,neiafu,-18.65,-173.9833,24.38,88,75,4.12,TO,1675789744
536,springville,40.1652,-111.6107,1.83,83,75,1.54,US,1675789990
537,nantucket,41.2835,-70.0995,2.08,74,100,8.75,US,1675789372
538,merauke,-8.4667,140.3333,25.38,90,100,4.55,ID,1675789901
539,plettenberg bay,-34.0527,23.3716,20.27,88,93,2.64,ZA,1675789916
540,cozumel,20.5083,-86.9458,28.04,75,75,7.72,MX,1675789974
541,ratnagiri,16.9833,73.3,22.83,70,100,3.66,IN,1675789992
542,mahibadhoo,3.7833,72.9667,27.14,75,70,4.82,MV,1675789441
543,never,46.9896,3.159,7.86,72,4,1.63,FR,1675789992
544,cururupu,-1.8283,-44.8683,28.11,74,99,2.55,BR,1675789993
545,lidkoping,58.5052,13.1577,3.01,95,100,6.06,SE,1675789993
546,iberia,29.9502,-91.7507,23.99,64,75,4.63,US,1675789994
547,wilmington,34.2257,-77.9447,18.95,63,0,3.09,US,1675789884
548,sibu,2.3,111.8167,22.52,98,84,0.64,MY,1675789920
549,ercis,39.0287,43.3586,-5.93,86,100,1.51,TR,1675789994
550,kodinsk,58.6881,99.1844,-15.56,98,100,1.3,RU,1675789995
551,feuchtwangen,49.1667,10.3333,0.74,59,32,2.55,DE,1675789995
552,petit goave,18.4314,-72.8669,27.05,62,7,1.98,HT,1675789996
553,moroni,-11.7022,43.2551,26.26,81,100,2.72,KM,1675789997
554,brooks,50.5834,-111.8851,1.14,70,82,3.93,CA,1675789997
555,copiapo,-27.3667,-70.3333,20.83,35,2,4.76,CL,1675789998
556,sayyan,15.1718,44.3244,15.12,55,7,0.94,YE,1675789955
557,vila franca do campo,37.7167,-25.4333,13.23,76,79,7.04,PT,1675789579
558,caramay,10.1815,119.236,24.78,87,65,1.51,PH,1675790000
559,lubango,-14.9172,13.4925,18.92,72,99,1.29,AO,1675790000
560,laurel,39.0993,-76.8483,7.63,65,0,3.6,US,1675789673
561,kismayo,-0.3582,42.5454,25.01,85,29,6.22,SO,1675790001
